sha1sum; evasion; bitmap
66fcdc0929092a01ea7aa9e63efe9492ceec44e6; ability to check the disk size, ability to retrieve the current memory availability, delaying execution by using ping.exe utility, trying to detect analysis virtual environment (bios detection); 000000001001100
d32f230975afbf276f9620975192b4943bd10b3c; ability to detect if sleep() function is patched, detecting avast software (checking dll), detecting debugger by checking debug port, detecting sandboxes by checking registry keys artifacts, detecting the presence of wine, potential detection of virtual environment (virtual pc), potential detection of virtual environment (winsock packet editor pro), searching for specific processes: xenservice.exe (analysis tool detection), trying to detect analysis virtual environment (bios detection), trying to detect analysis virtual environment (hdd detection); 110000001010000
d1e49a7914c9ab9a38d231a7e8ed4c0adeab3806; disables windows error reporting for a process, trying to detect analysis virtual environment (bios detection); 000000001000000
b2f4f14f1ad61555a0433ac503ea1c1e0bfeb862; ability to detect if sleep() function is patched, detecting avast software (checking dll), detecting debugger by checking debug port, detecting sandboxes by checking registry keys artifacts, detecting the presence of wine, potential detection of virtual environment (virtual pc), potential detection of virtual environment (winsock packet editor pro), searching for specific processes: xenservice.exe (analysis tool detection), trying to detect analysis virtual environment (bios detection), trying to detect analysis virtual environment (hdd detection); 110000001010000
439c9ba48aaab4a29f74b5c193ba47c63f618bd5; detecting the presence of wine, possibly stalling against analysis environment (sleep), potential detection of analysis tools (dbghelp.dll), potential detection of virtual environment (sandboxie), searching for specific processes: explorer.exe (system injection target), trying to detect analysis virtual environment (analysis path detection), trying to detect analysis virtual environment (malware analysis sandbox detection), trying to detect analysis virtual environment (user detection); 100000000000000
852f1236e6094f404a713c40e5546c67be7c5863; ability to detect if sleep() function is patched, detecting avast software (checking dll), detecting debugger by checking debug port, detecting sandboxes by checking registry keys artifacts, detecting the presence of wine, potential detection of virtual environment (virtual pc), potential detection of virtual environment (winsock packet editor pro), searching for specific processes: xenservice.exe (analysis tool detection), trying to detect analysis virtual environment (bios detection), trying to detect analysis virtual environment (hdd detection); 110000001010000
421a821498df9e598269b0ba9b85b2724cdb4c3d; ability to retrieve system default language identifier, checking for specific image filename, potential detection of analysis tools (dbghelp.dll), searching for specific processes: chrome.exe (browser injection target), searching for specific processes: clmain.exe (e-commerce client injection target), searching for specific processes: explorer.exe (system injection target), searching for specific processes: sks2xyz.dll.exe (e-banking client injection target), timing detection (rdtsc_gettickcount), trying to detect analysis virtual environment (installed applications detection), trying to detect analysis virtual environment (timing analysis detection); 100100100000000
c3aa59357b7b42fab7c3d5294b94a8120581c5bd; ability to detect if sleep() function is patched, detecting avast software (checking dll), detecting debugger by checking debug port, detecting sandboxes by checking registry keys artifacts, detecting the presence of wine, potential detection of virtual environment (virtual pc), potential detection of virtual environment (winsock packet editor pro), searching for specific processes: xenservice.exe (analysis tool detection), trying to detect analysis virtual environment (bios detection), trying to detect analysis virtual environment (hdd detection); 110000001010000
a102bc3df8e2df1584e7f78df0c6af33b039882c; disables windows error reporting for a process, trying to detect analysis virtual environment (bios detection); 000000001000000
82a0951f4a642686c0550d6a0b48c4d0932faf90; detecting the presence of wine, possibly stalling against analysis environment (sleep), potential detection of analysis tools (dbghelp.dll), potential detection of virtual environment (sandboxie), searching for specific processes: explorer.exe (system injection target), trying to detect analysis virtual environment (analysis path detection), trying to detect analysis virtual environment (malware analysis sandbox detection), trying to detect analysis virtual environment (user detection); 100000000000000
7261901e62cbb206b0ecb90af72855e46e1e9309; possibly stalling against analysis environment (sleep), potential detection of analysis tools (dbghelp.dll), potential detection of virtual environment (sandboxie), trying to detect analysis virtual environment (bios detection), trying to detect analysis virtual environment (drivers detection); 000000001100000
bb430c31a03915a0be894b08050928f6bce1fe3f; ability to check the disk size, trying to detect analysis virtual environment (bios detection); 000000001001000
5bc53e91237db39420b85d22ee213419eb9d7bff; searching for specific processes, trying to detect analysis virtual environment (timing analysis detection); 100100000000000
3cae64dda3c6f609d46131872ab32536fbdbbcbe; ability to check the disk size, ability to detect if sleep() function is patched, ability to retrieve a list of keyboard layouts, ability to retrieve the current memory availability, trying to detect analysis virtual environment (bios detection); 000000011001100
63507367af685290afabff62e7b6db552f931313; ability to detect if sleep() function is patched, detecting avast software (checking dll), detecting debugger by checking debug port, detecting sandboxes by checking registry keys artifacts, detecting the presence of wine, potential detection of virtual environment (virtual pc), potential detection of virtual environment (winsock packet editor pro), searching for specific processes: xenservice.exe (analysis tool detection), trying to detect analysis virtual environment (bios detection), trying to detect analysis virtual environment (hdd detection); 110000001010000
696026c951524c5c3922bd9e0569a26910343958; disables windows error reporting for a process, trying to detect analysis virtual environment (bios detection); 000000001000000
efa0f64adaa410b5237e0a042fc7e96edabc366f; ability to detect if sleep() function is patched, detecting avast software (checking dll), detecting debugger by checking debug port, detecting sandboxes by checking registry keys artifacts, detecting the presence of wine, potential detection of virtual environment (virtual pc), potential detection of virtual environment (winsock packet editor pro), searching for specific processes: xenservice.exe (analysis tool detection), trying to detect analysis virtual environment (bios detection), trying to detect analysis virtual environment (hdd detection); 110000001010000
ec889afddfc690027b3bd4b7fd28961722f6efc3; trying to detect analysis virtual environment (timing analysis detection); 000100000000000
8ffad552493bf575e9a71e649a444450495b8118; ability to detect if sleep() function is patched, detecting avast software (checking dll), detecting debugger by checking debug port, detecting sandboxes by checking registry keys artifacts, detecting the presence of wine, potential detection of virtual environment (virtual pc), potential detection of virtual environment (winsock packet editor pro), searching for specific processes: xenservice.exe (analysis tool detection), trying to detect analysis virtual environment (bios detection), trying to detect analysis virtual environment (hdd detection); 110000001010000
6d03337e4f4056c522fa34150efd05a355b0ee8c; ability to check the disk size, ability to retrieve the current memory availability, delaying execution by using ping.exe utility, trying to detect analysis virtual environment (bios detection); 000000001001100
d43c94047de57021c1881540f769f784a1977502; ability to check the disk size, ability to retrieve the current memory availability, detecting the presence of wine, possibly stalling against analysis environment (sleep), potential detection of analysis tools (dbghelp.dll), timing detection (rdtsc_gettickcount), trying to detect analysis virtual environment (bios detection), trying to detect analysis virtual environment (hdd detection), trying to detect analysis virtual environment (analysis path detection), trying to detect analysis virtual environment (computer name detection), trying to detect analysis virtual environment (drivers detection), trying to detect analysis virtual environment (installed applications detection), trying to detect analysis virtual environment (malware analysis sandbox detection), trying to detect analysis virtual environment (user detection); 000100101111100
bd2e9e200eb1f5cfacddb87d5bd1fa4c349034fd; checking for specific image filename, detecting sandboxes by checking registry keys artifacts, potential detection of virtual environment (ioctl_disk_get_length_info), potential detection of virtual environment (sandboxie), searching for specific processes: ekrn.exe (anti-malware detection), searching for specific processes: wireshark.exe (analysis tool detection), trying to detect analysis virtual environment (bios detection), trying to detect analysis virtual environment (analysis path detection), trying to detect analysis virtual environment (drivers detection), trying to detect analysis virtual environment (installed applications detection), trying to detect analysis virtual environment (malware analysis sandbox detection); 100000001101000
50dd211de253ab48d7ed70457bce5def71577139; detecting virtualbox by enumerating acpi registry keys, trying to detect analysis virtual environment (guest modules detection); 000000000000001
acf09f6626cdc440270c1b3a5f8c2e1ff6794e3b; ability to detect if sleep() function is patched, detecting avast software (checking dll), detecting debugger by checking debug port, detecting sandboxes by checking registry keys artifacts, detecting the presence of wine, potential detection of virtual environment (virtual pc), potential detection of virtual environment (winsock packet editor pro), searching for specific processes: xenservice.exe (analysis tool detection), trying to detect analysis virtual environment (bios detection), trying to detect analysis virtual environment (hdd detection); 110000001010000
c96af48b138b51b9ecfe8c8265090123ed9d9630; possibly stalling against analysis environment (sleep), searching for installed programs (antimalware software), trying to detect analysis virtual environment (hdd detection); 000000000010000
a69901fe5162f1986f227e7def0fe1a18c4ec693; trying to detect analysis virtual environment (bios detection); 000000001000000
a989dd54965222d275bf3978ba8868b732695f68; checking for specific image filename, delaying execution by using ping.exe utility, searching for specific processes: avastsvc.exe (anti-malware detection), searching for specific processes: vboxservice.exe (analysis tool detection), searching for specific processes: vsserv.exe (anti-malware detection), trying to detect analysis virtual environment (pnp device detection), trying to detect analysis virtual environment (analysis path detection), trying to detect analysis virtual environment (malware analysis sandbox detection); 100000000000000
d991f95c65ddf23f5a64195dd5ad44bd13ff3077; ability to retrieve the current memory availability, detecting the presence of wine, disables windows error reporting for a process, potential detection of virtual environment (sandboxie), trying to detect analysis virtual environment (guest modules detection); 000000000000100
447586f3625973db4bb027649398569015862f86; detecting sandboxes by checking registry keys artifacts, trying to detect analysis virtual environment (bios detection), trying to detect analysis virtual environment (hdd detection), trying to detect analysis virtual environment (drivers detection); 000000001110000
24cdaa270e0fc213650da3f939fbd286257ec0df; ability to retrieve a list of keyboard layouts, trying to detect analysis virtual environment (analysis path detection), trying to detect analysis virtual environment (malware analysis sandbox detection); 000000010000000
2c57af8c29a6216379032f2c26f187dfe60cb4ff; disables windows error reporting for a process, trying to detect analysis virtual environment (bios detection); 000000001000000
2c2896200f8b1184b6d318206cc7235d61e95226; searching for installed programs (antimalware software), trying to detect analysis virtual environment (hdd detection), trying to enumerate security products installed on the system from wmi; 000000000010000
863ef923caab748fc75ad3902bb657cfdbf18d59; searching for installed programs (antimalware software), trying to detect analysis virtual environment (bios detection), trying to detect analysis virtual environment (motherboard detection), trying to enumerate security products installed on the system from wmi; 000000001000000
1f9c197d63c71746d33739d11d50f9d018cfd64e; disables windows error reporting for a process, trying to detect analysis virtual environment (bios detection); 000000001000000
88dec218dfc24faeec3256f0323c23a20a02e639; ability to detect if sleep() function is patched, detecting avast software (checking dll), detecting debugger by checking debug port, detecting sandboxes by checking registry keys artifacts, detecting the presence of wine, potential detection of virtual environment (virtual pc), potential detection of virtual environment (winsock packet editor pro), searching for specific processes: xenservice.exe (analysis tool detection), trying to detect analysis virtual environment (bios detection), trying to detect analysis virtual environment (hdd detection); 110000001010000
dcc516f57634bdf283c38a3570ee6616e55868ff; ability to detect if sleep() function is patched, ability to retrieve a list of keyboard layouts, ability to retrieve the current memory availability, trying to detect analysis virtual environment (bios detection); 000000011000100
ca5883523ea78fbbbe8910966eeff3aafd59b7dd; ability to detect if sleep() function is patched, detecting avast software (checking dll), detecting debugger by checking debug port, detecting sandboxes by checking registry keys artifacts, detecting the presence of wine, potential detection of virtual environment (virtual pc), potential detection of virtual environment (winsock packet editor pro), searching for specific processes: xenservice.exe (analysis tool detection), trying to detect analysis virtual environment (bios detection), trying to detect analysis virtual environment (hdd detection); 110000001010000
d9753f7307089271989821330a1b7a9b03010fde; ability to check the disk size, ability to retrieve the current memory availability, trying to detect analysis virtual environment (bios detection); 000000001001100
993c9226e8deec3e61f1189a3afa7cde964f9b57; checking for specific image filename, timing detection (rdtsc_gettickcount), trying to detect analysis virtual environment (timing analysis detection); 000100100000000
9ac7dc2768973110c3fb1e2321846f2247f05bb0; ability to detect if sleep() function is patched, detecting avast software (checking dll), detecting debugger by checking debug port, detecting sandboxes by checking registry keys artifacts, detecting the presence of wine, potential detection of virtual environment (virtual pc), potential detection of virtual environment (winsock packet editor pro), searching for specific processes: xenservice.exe (analysis tool detection), trying to detect analysis virtual environment (bios detection), trying to detect analysis virtual environment (hdd detection); 110000001010000
f835b191c4e68344c932adfcf86fddaaf8cddc35; trying to detect analysis virtual environment (bios detection); 000000001000000
be76f1588c10676f394228fd31ecebfd42973933; ability to check the disk size, ability to retrieve the current memory availability, delaying execution by using ping.exe utility, trying to detect analysis virtual environment (bios detection); 000000001001100
5fae5d5be0ca8ca6fd14a5bcc23813b2e6dd6dcc; ability to check the disk size, ability to retrieve the current memory availability, delaying execution by using ping.exe utility, trying to detect analysis virtual environment (bios detection); 000000001001100
ffe6423558e58bc077a00a6d1a04891f6b0746a5; searching for installed programs (antimalware software), trying to detect analysis virtual environment (bios detection), trying to detect analysis virtual environment (motherboard detection), trying to enumerate security products installed on the system from wmi; 000000001000000
400c3fccf09d91a5fde4985d7b52b56581b7fadc; ability to retrieve the current memory availability, detecting virtualbox by enumerating acpi registry keys, detecting the presence of wine, potential anti-vm time analysis check using rdtsc, trying to detect analysis virtual environment (bios detection), trying to detect analysis virtual environment (timing analysis detection); 000100001000101
5b7ce48416eb8ce969f1a82a1d941413da64a4c0; ability to detect if sleep() function is patched, detecting avast software (checking dll), detecting debugger by checking debug port, detecting sandboxes by checking registry keys artifacts, detecting the presence of wine, potential detection of virtual environment (virtual pc), potential detection of virtual environment (winsock packet editor pro), searching for specific processes: xenservice.exe (analysis tool detection), trying to detect analysis virtual environment (bios detection), trying to detect analysis virtual environment (hdd detection); 110000001010000
ca288357af94c7b513572fdffbade67f3e9f2677; detecting the presence of wine, possibly stalling against analysis environment (sleep), potential detection of analysis tools (dbghelp.dll), potential detection of virtual environment (sandboxie), searching for specific processes: explorer.exe (system injection target), trying to detect analysis virtual environment (analysis path detection), trying to detect analysis virtual environment (malware analysis sandbox detection), trying to detect analysis virtual environment (user detection); 100000000000000
b6576e4c332de49cdd2a4ec480906b25bfa415f9; trying to detect analysis virtual environment (bios detection); 000000001000000
10108c9e309caa5db90f7b0f872d158656045f49; searching for specific processes, trying to detect analysis virtual environment (timing analysis detection); 100100000000000
6f3b407d0b6bdad851870cce728aee19c84d4b0a; ability to check the disk size, ability to retrieve the current memory availability, disables windows error reporting for a process, possibly stalling against analysis environment (sleep), timing detection (rdtsc_gettickcount), trying to detect analysis virtual environment (timing analysis detection); 000100100001100
1732ae149b85152adb9e65c602248297a9e5910a; detecting debugger by checking debug port, detecting debugger by checking windows class name, detecting the presence of wine, disables windows error reporting for a process, searching for specific processes: vmhgfs.sys (analysis tool detection), searching for specific processes: zonealarm.exe (anti-malware detection), trying to detect analysis virtual environment (bios detection), trying to detect analysis virtual environment (hdd detection), trying to detect analysis virtual environment (drivers detection), trying to forbid debugging (hiding threads from debugger); 110000001110000
886743db7079067a4732668c13f44136943a83bd; ability to detect if sleep() function is patched, detecting avast software (checking dll), detecting debugger by checking debug port, detecting sandboxes by checking registry keys artifacts, detecting the presence of wine, potential detection of virtual environment (virtual pc), potential detection of virtual environment (winsock packet editor pro), searching for specific processes: xenservice.exe (analysis tool detection), trying to detect analysis virtual environment (bios detection), trying to detect analysis virtual environment (hdd detection); 110000001010000
841a9ce2857bed98c91a128a7312ff5a4c9af879; searching for specific processes: ekrn.exe (anti-malware detection), timing detection (rdtsc_gettickcount), trying to detect analysis virtual environment (bios detection), trying to enumerate security products installed on the system from wmi; 100100101000000
35f4fa8d9e8779504300aa449b862ff119ceee49; ability to check the disk size, sets file time to evade time line forensics analysis, timing detection (rdtsc_gettickcount), trying to detect analysis virtual environment (timing analysis detection), trying to forbid debugging (detecting process debug handle), trying to forbid debugging (hiding threads from debugger); 010100100001000
afa07b6d3ab14e96a6431be6d1328834e5b9811a; ability to detect if sleep() function is patched, detecting avast software (checking dll), detecting debugger by checking debug port, detecting sandboxes by checking registry keys artifacts, detecting the presence of wine, potential detection of virtual environment (virtual pc), potential detection of virtual environment (winsock packet editor pro), searching for specific processes: xenservice.exe (analysis tool detection), trying to detect analysis virtual environment (bios detection), trying to detect analysis virtual environment (hdd detection); 110000001010000
dbf7b94901a9655551af8dafc5153eb4e2aadb2a; disables windows error reporting for a process, trying to detect analysis virtual environment (bios detection); 000000001000000
0b5616228f6556b320ac0d2f586504538abb638e; ability to detect if sleep() function is patched, delaying execution by using ping.exe utility, trying to detect analysis virtual environment (bios detection); 000000001000000
00d75def65016b547f85f6b318d0201486cf43fd; potential detection of analysis tools (dbghelp.dll), trying to detect analysis virtual environment (hdd detection); 000000000010000
3e0e876b891bf0dec296795ebf6c5504b95da115; disables windows error reporting for a process, trying to detect analysis virtual environment (bios detection); 000000001000000
7a9494ffd710f8ca0c983f75de83519ea70f1286; detecting the presence of wine, possibly stalling against analysis environment (sleep), potential detection of analysis tools (dbghelp.dll), potential detection of virtual environment (sandboxie), searching for specific processes: explorer.exe (system injection target), trying to detect analysis virtual environment (analysis path detection), trying to detect analysis virtual environment (malware analysis sandbox detection), trying to detect analysis virtual environment (user detection); 100000000000000
e3d48353c25c1d395090b9035e884042ae47e3f4; ability to retrieve a list of keyboard layouts, ability to retrieve the current memory availability, checking for specific image filename, possibly stalling against analysis environment (sleep), searching for specific processes: explorer.exe (system injection target), searching for specific processes: wclnt.exe (e-banking client injection target), timing detection (rdtsc_gettickcount), trying to detect analysis virtual environment (timing analysis detection); 100100110000100
ce26239485ec29db5d60c6dc9aa28be38905acee; searching for specific processes, timing detection (rdtsc_gettickcount), trying to detect analysis virtual environment (timing analysis detection); 100100100000000
f6a365054e2dac95f8c5f83c81ff7e4878993b1b; detecting virtualbox by enumerating acpi registry keys, detecting the presence of wine, potential anti-vm time analysis check using rdtsc, trying to detect analysis virtual environment (bios detection), trying to detect analysis virtual environment (timing analysis detection), trying to forbid debugging (debug drivers detection); 010100001100001
8101d10928b4e5734db9de863d20a1c59491c017; ability to detect if sleep() function is patched, detecting avast software (checking dll), detecting debugger by checking debug port, detecting sandboxes by checking registry keys artifacts, detecting the presence of wine, potential detection of virtual environment (virtual pc), potential detection of virtual environment (winsock packet editor pro), searching for specific processes: xenservice.exe (analysis tool detection), trying to detect analysis virtual environment (bios detection), trying to detect analysis virtual environment (hdd detection); 110000001010000
96294349fa01530d5b9998b799846e8774b0b642; ability to detect if sleep() function is patched, detecting avast software (checking dll), detecting debugger by checking debug port, detecting sandboxes by checking registry keys artifacts, detecting the presence of wine, potential detection of virtual environment (virtual pc), potential detection of virtual environment (winsock packet editor pro), searching for specific processes: xenservice.exe (analysis tool detection), trying to detect analysis virtual environment (bios detection), trying to detect analysis virtual environment (hdd detection); 110000001010000
9ca570098da1a04702d83efd277c6d7799973852; ability to retrieve a list of keyboard layouts, ability to retrieve system default language identifier, ability to retrieve the current memory availability, checking for specific image filename, possibly stalling against analysis environment (sleep), searching for specific processes: explorer.exe (system injection target), searching for specific processes: wclnt.exe (e-banking client injection target), timing detection (rdtsc_gettickcount), trying to detect analysis virtual environment (timing analysis detection); 100100110000100
865c90f0acd50f576335717d205ac53074cdd690; detecting debugger by checking debug port, detecting the presence of wine, disables windows error reporting for a process, searching for specific processes: vmhgfs.sys (analysis tool detection), searching for specific processes: zonealarm.exe (anti-malware detection), trying to detect analysis virtual environment (bios detection), trying to detect analysis virtual environment (drivers detection), trying to forbid debugging (hiding threads from debugger); 110000001100000
c04637c41a4fc6fe9d94068d41fe263dc5d9eaf3; disables windows error reporting for a process, trying to detect analysis virtual environment (bios detection); 000000001000000
3d360130e3982fb38631c698c5c0fc4fadfa0e95; possibly stalling against analysis environment (sleep), timing detection (rdtsc_gettickcount), trying to detect analysis virtual environment (timing analysis detection); 000100100000000
0460292a35fc2033c86e19db93180b946ee3cadf; ability to detect if sleep() function is patched, detecting avast software (checking dll), detecting debugger by checking debug port, detecting sandboxes by checking registry keys artifacts, detecting the presence of wine, potential detection of virtual environment (virtual pc), potential detection of virtual environment (winsock packet editor pro), searching for specific processes: xenservice.exe (analysis tool detection), trying to detect analysis virtual environment (bios detection), trying to detect analysis virtual environment (hdd detection); 110000001010000
628940a0e387e3d0c65cc2d4aa423e4d701e64fb; disables windows error reporting for a process, trying to detect analysis virtual environment (bios detection); 000000001000000
81b214e27c8df310e3687be54e3b70f65efe15e7; disables windows error reporting for a process, trying to detect analysis virtual environment (bios detection); 000000001000000
42e14e47370cd96329e146ed165a9ba285f93fea; detecting debugger by checking debug port, detecting debugger by checking windows class name, possibly stalling against analysis environment (sleep), searching for specific processes: 360sd.exe (anti-malware detection), searching for specific processes: regmon.exe (analysis tool detection), trying to detect analysis virtual environment (timing analysis detection), trying to forbid debugging (detecting process debug handle), trying to forbid debugging (hiding threads from debugger); 110100000000000
d894a7aea1083ec60298386d201c9bc33dcc6c4e; ability to detect if sleep() function is patched, detecting avast software (checking dll), detecting debugger by checking debug port, detecting sandboxes by checking registry keys artifacts, detecting the presence of wine, potential detection of virtual environment (virtual pc), potential detection of virtual environment (winsock packet editor pro), searching for specific processes: xenservice.exe (analysis tool detection), trying to detect analysis virtual environment (bios detection), trying to detect analysis virtual environment (hdd detection); 110000001010000
2ad439cde49e567e722f8288a0ae6a151806593a; delaying execution by using ping.exe utility, detecting virtualbox by enumerating acpi registry keys, trying to detect analysis virtual environment (hdd detection); 000000000010001
09e0c05c84f15ec522b3551c269da5f08d762253; ability to detect if sleep() function is patched, detecting avast software (checking dll), detecting debugger by checking debug port, detecting sandboxes by checking registry keys artifacts, detecting the presence of wine, potential detection of virtual environment (virtual pc), potential detection of virtual environment (winsock packet editor pro), searching for specific processes: xenservice.exe (analysis tool detection), trying to detect analysis virtual environment (bios detection), trying to detect analysis virtual environment (hdd detection); 110000001010000
884e9c8770cac24b500d01d984ca73746f0800b6; trying to detect analysis virtual environment (bios detection); 000000001000000
d91a6a61519df9720df3fc5040c467cdf3072acd; ability to check the disk size, ability to detect if sleep() function is patched, ability to retrieve a list of keyboard layouts, ability to retrieve the current memory availability, trying to detect analysis virtual environment (bios detection); 000000011001100
9a97883400aaacbd98cb60db83faa116474cc40f; ability to check the disk size, detecting debugger by checking debug port, detecting debugger by checking windows class name, potential anti-vm time analysis check using rdtsc, self-modifying code at runtime, trying to detect analysis virtual environment (timing analysis detection), trying to forbid debugging (debug drivers detection); 010100000101000
d3834d45085217bed96173ec0ea635a50e91dbbb; checking for specific image filename, potential detection of virtual environment (sandboxie), trying to detect analysis virtual environment (guest modules detection), trying to enumerate security products installed on the system from wmi; 000000000000000
1292461dcae8581084c154dfd6aa0454ed4010a5; ability to detect if sleep() function is patched, detecting avast software (checking dll), detecting debugger by checking debug port, detecting sandboxes by checking registry keys artifacts, detecting the presence of wine, potential detection of virtual environment (virtual pc), potential detection of virtual environment (winsock packet editor pro), searching for specific processes: xenservice.exe (analysis tool detection), trying to detect analysis virtual environment (bios detection), trying to detect analysis virtual environment (hdd detection); 110000001010000
ccdd48cfa3b3647650f9c4601c9ca5a38123ce8c; ability to check the disk size, ability to detect if sleep() function is patched, trying to detect analysis virtual environment (bios detection); 000000001001000
3b0998f0c253dbbff4a11981e523b3fc3456c92e; delaying execution by using ping.exe utility, searching for specific processes: avastsvc.exe (anti-malware detection), searching for specific processes: vsserv.exe (anti-malware detection), trying to detect analysis virtual environment (pnp device detection), trying to detect analysis virtual environment (guest modules detection), trying to detect analysis virtual environment (malware analysis sandbox detection); 100000000000000
93b3417d9c82160f9a081361f32610dc3f387e1d; checking for specific image filename, trying to detect analysis virtual environment (timing analysis detection); 000100000000000
04cf4c5cf37a8da308b4e9b141964df3797b70c5; delaying execution by using ping.exe utility, detecting debugger by checking debug port, disables windows error reporting for a process, potential detection of analysis tools (dbghelp.dll), searching for installed programs (antimalware software), self-modifying code at runtime, trying to detect analysis virtual environment (hdd detection), trying to enumerate security products installed on the system from wmi; 010000000010000
2f1c6a95706894012cd42738ee79e244dc3124be; ability to detect if sleep() function is patched, detecting avast software (checking dll), detecting debugger by checking debug port, detecting sandboxes by checking registry keys artifacts, detecting the presence of wine, potential detection of virtual environment (virtual pc), potential detection of virtual environment (winsock packet editor pro), searching for specific processes: xenservice.exe (analysis tool detection), trying to detect analysis virtual environment (bios detection), trying to detect analysis virtual environment (hdd detection); 110000001010000
4da6e5ae580543684f4b1988f61f0e9b248dafe3; ability to detect if sleep() function is patched, ability to retrieve a list of keyboard layouts, detecting virtualbox by enumerating acpi registry keys, detecting debugger by checking debug port, detecting debugger by checking windows class name, searching for running programs (analysis tools), searching for specific processes: sbiedll.exe (analysis tool detection), trying to detect analysis virtual environment (hdd detection), trying to detect analysis virtual environment (guest modules detection), trying to forbid debugging (debug windows detection), trying to forbid debugging (detecting process debug flag); 110000010010001
ba3e4c936c59ceb1565246a3114a6313debefe00; ability to retrieve a list of keyboard layouts, ability to retrieve system default language identifier, ability to retrieve the current memory availability, checking for specific image filename, possibly stalling against analysis environment (sleep), searching for specific processes: explorer.exe (system injection target), searching for specific processes: wclnt.exe (e-banking client injection target), timing detection (rdtsc_gettickcount), trying to detect analysis virtual environment (timing analysis detection); 100100110000100
4226a9286d8f19cc482956690920a2e68b8affa0; detecting sandboxes by checking registry keys artifacts, trying to detect analysis virtual environment (bios detection), trying to detect analysis virtual environment (hdd detection), trying to detect analysis virtual environment (drivers detection), trying to detect analysis virtual environment (installed applications detection); 000000001110000
08ba3f71382e98519c3378a7a9246afcc8b98045; trying to detect analysis virtual environment (hdd detection); 000000000010000
7228c0cce5059783508837d4c503801519fe794f; ability to retrieve system default language identifier, trying to detect analysis virtual environment (timing analysis detection); 000100000000000
35fed79c749b46ffb0fa12427783f731c3e597d5; ability to detect if sleep() function is patched, detecting avast software (checking dll), detecting debugger by checking debug port, detecting sandboxes by checking registry keys artifacts, detecting the presence of wine, potential detection of virtual environment (virtual pc), potential detection of virtual environment (winsock packet editor pro), searching for specific processes: xenservice.exe (analysis tool detection), trying to detect analysis virtual environment (bios detection), trying to detect analysis virtual environment (hdd detection); 110000001010000
